,course,Study Hrs/wk,grades
372,CAT,3.48,3.6
373,CAT,4.11,3.28
374,CAT,3.43,3.25
375,CAT,4.22,3.54
376,CAT,2.29,3.46
377,CAT,3.95,3.4
378,CAT,5.76,3.16
379,CAT,4.8,3.16
380,CAT,4.35,3.48
381,CAT,5.36,3.35
382,CAT,4.92,3.57
383,CAT,4.36,3.26
384,CAT,4.64,3.12
385,CAT,5.63,3.03
386,CAT,5.07,3.14
387,CAT,6.63,3.07
388,CAT,4.8,3.15
389,CAT,5.21,2.98
390,CAT,5.43,3.12
391,CAT,4.36,3.28
392,CAT,5.94,3.1
393,CAT,5.09,3.12
394,CAT,5.43,3.17
395,CAT,4.15,3.38
396,CAT,5.52,3.18
397,CAT,4.53,3.43
398,CAT,3.53,3.04
399,CAT,6.08,3.13
400,CAT,5.84,3.15
401,CAT,5.1,3.2
402,CAT,8.21,3.21
403,CAT,5.54,3.17
404,CAT,5.73,3.04
405,CAT,5.64,3.2
406,CAT,4.4,2.97
407,CAT,5.55,2.94
408,CAT,4.89,3.07
409,CAT,6.05,3.05
410,CAT,4.26,2.73
411,CAT,4.41,3.08
412,CAT,4.73,2.73
413,CAT,5.3,2.96
414,CAT,4.13,2.94
415,CAT,5.7,2.67
416,CAT,5.54,2.62
417,CAT,5.89,2.98
418,CAT,6.09,2.74
419,CAT,7.05,2.91
420,CAT,5.72,2.79
421,CAT,3.69,3.49
422,CAT,4.64,3.23
423,CAT,4.36,3.03
424,CAT,4.67,3.47
425,CAT,4.12,3.49
426,CAT,4.23,3.34
427,CAT,4.46,3.47
428,CAT,4.94,3.63
429,CAT,3.79,3.44
430,CAT,4.39,3.45
431,CAT,4.69,3.13
432,CAT,4.22,3.51
433,CAT,4.36,3.24
434,CAT,3.95,3.13
435,CAT,4.48,3.15
436,CAT,5.33,3.45
437,CAT,4.87,3.1
438,CAT,4.43,3.43
439,CAT,4.2,3.58
440,CAT,5.1,3.27
441,CAT,4.03,3.54
442,CAT,4.62,3.48
443,CAT,5.76,3.04
444,CAT,6.79,2.9
445,CAT,4.13,3.34
446,CAT,5.32,2.88
447,CAT,4.58,3.23
448,CAT,5.99,2.94
449,CAT,4.52,3.17
450,CAT,4.76,3.18
451,CAT,4.88,2.98
452,CAT,6.01,2.88
453,CAT,4.65,2.99
454,CAT,5.81,3.07
455,CAT,5.27,3.11
456,CAT,7.13,3.09
457,CAT,4.39,2.98
458,CAT,5.64,2.93
459,CAT,4.74,3.01
460,CAT,5.13,3.09
461,CAT,5.91,2.91
462,CAT,7.4,3.05
463,CAT,4.38,3.07
464,CAT,5.59,2.97
465,CAT,6.06,2.92
466,CAT,4.76,2.94
467,CAT,4.45,2.69
468,CAT,5.37,2.79
469,CAT,4.39,2.97
470,CAT,6.58,2.25
471,CAT,4.67,2.82
472,CAT,5.65,2.91
473,CAT,5.97,2.77
474,CAT,3.75,2.79
