year,month,level
1959,6,-0.040999999999999995
1959,7,-0.036000000000000004
1959,8,-0.028999999999999998
1959,9,-0.033
1959,10,-0.002
1959,11,-0.039
1959,12,0.019
1960,1,-0.07
1960,2,-0.121
1960,3,-0.071
1960,4,-0.07
1960,5,-0.066
1960,6,-0.11699999999999999
1960,7,-0.13
1960,8,-0.136
1960,9,-0.122
1960,10,-0.1
1960,11,-0.09699999999999999
1960,12,-0.10300000000000001
1961,1,-0.07
1961,2,-0.131
1961,3,-0.132
1961,4,-0.10099999999999999
1961,5,-0.163
1961,6,-0.138
1961,7,-0.11199999999999999
1961,8,-0.07200000000000001
1961,9,-0.106
1961,10,-0.133
1961,11,-0.109
1961,12,-0.076
1962,1,-0.08199999999999999
1962,2,-0.09699999999999999
1962,3,-0.15
1962,4,-0.095
1962,5,-0.102
1962,6,-0.135
1962,7,-0.16699999999999998
1962,8,-0.127
1962,9,-0.11199999999999999
1962,10,-0.1
1962,11,-0.14300000000000002
1962,12,-0.11900000000000001
1963,1,-0.052000000000000005
1963,2,-0.079
1963,3,-0.10800000000000001
1963,4,-0.08199999999999999
1963,5,-0.078
1963,6,-0.047
1963,7,-0.042
1963,8,-0.045
1963,9,-0.039
1963,10,-0.066
1963,11,-0.06
1963,12,-0.024
1964,1,-0.061
1964,2,-0.11199999999999999
1964,3,-0.11699999999999999
1964,4,-0.11
1964,5,-0.145
1964,6,-0.151
1964,7,-0.14
1964,8,-0.09
1964,9,-0.11900000000000001
1964,10,-0.124
1964,11,-0.14300000000000002
1964,12,-0.131
1965,1,-0.10099999999999999
1965,2,-0.027000000000000003
1965,3,-0.027999999999999997
1965,4,-0.012
1965,5,-0.11800000000000001
1965,6,-0.09
1965,7,-0.10300000000000001
1965,8,-0.039
1965,9,-0.036000000000000004
1965,10,-0.048
1965,11,-0.054000000000000006
1965,12,-0.009000000000000001
1966,1,-0.027999999999999997
1966,2,-0.085
1966,3,-0.068
1966,4,-0.006
1966,5,-0.02
1966,6,-0.032
1966,7,-0.042
1966,8,0.004
1966,9,-0.048
1966,10,-0.048
1966,11,-0.091
1966,12,-0.076
1967,1,-0.021
1967,2,-0.073
1967,3,-0.059000000000000004
1967,4,-0.052000000000000005
1967,5,-0.002
1967,6,0.017
1967,7,0.004
1967,8,0.035
1967,9,-0.015
1967,10,-0.078
1967,11,-0.027000000000000003
1967,12,-0.049
1968,1,-0.027999999999999997
1968,2,-0.021
1968,3,-0.096
1968,4,-0.07
1968,5,-0.063
1968,6,-0.08
1968,7,-0.085
1968,8,-0.075
1968,9,-0.079
1968,10,-0.06
1968,11,-0.051
1968,12,-0.067
1969,1,-0.003
1969,2,-0.03
1969,3,-0.059000000000000004
1969,4,-0.043
1969,5,-0.054000000000000006
1969,6,-0.071
1969,7,-0.07200000000000001
1969,8,-0.051
1969,9,-0.048
1969,10,-0.008
1969,11,0.01
1969,12,-0.027000000000000003
1970,1,-0.10099999999999999
1970,2,-0.048
1970,3,-0.001
1970,4,-0.07
1970,5,-0.063
1970,6,-0.068
1970,7,-0.07200000000000001
1970,8,-0.075
1970,9,-0.08800000000000001
1970,10,-0.066
1970,11,-0.07
1970,12,-0.113
1971,1,-0.11
1971,2,-0.09699999999999999
1971,3,-0.126
1971,4,-0.08900000000000001
1971,5,-0.081
1971,6,-0.059000000000000004
1971,7,-0.048
1971,8,-0.06
1971,9,-0.115
1971,10,-0.13
1971,11,-0.131
1971,12,-0.11599999999999999
1972,1,-0.08199999999999999
1972,2,-0.076
1972,3,-0.022000000000000002
1972,4,-0.04
1972,5,-0.057
1972,6,-0.006999999999999999
1972,7,-0.045
1972,8,-0.017
1972,9,-0.036000000000000004
1972,10,0.004
1972,11,0.022000000000000002
1972,12,0.057999999999999996
1973,1,-0.061
1973,2,-0.006
1973,3,-0.055999999999999994
1973,4,-0.10099999999999999
1973,5,-0.078
1973,6,-0.083
1973,7,-0.091
1973,8,-0.09300000000000001
1973,9,-0.16699999999999998
1973,10,-0.136
1973,11,-0.161
1973,12,-0.131
1974,1,-0.098
1974,2,-0.106
1974,3,-0.068
1974,4,-0.055
1974,5,-0.035
1974,6,-0.028999999999999998
1974,7,-0.045
1974,8,-0.078
1974,9,-0.051
1974,10,-0.10300000000000001
1974,11,-0.09699999999999999
1974,12,-0.094
1975,1,-0.107
1975,2,-0.115
1975,3,-0.068
1975,4,-0.067
1975,5,-0.105
1975,6,-0.09300000000000001
1975,7,-0.079
1975,8,-0.11199999999999999
1975,9,-0.08800000000000001
1975,10,-0.127
1975,11,-0.115
1975,12,-0.13699999999999998
1976,1,-0.095
1976,2,-0.064
1976,3,-0.068
1976,4,-0.057999999999999996
1976,5,-0.026000000000000002
1976,6,-0.022000000000000002
1976,7,-0.018000000000000002
1976,8,-0.09300000000000001
1976,9,-0.018000000000000002
1976,10,-0.027000000000000003
1976,11,0.016
1976,12,0.022000000000000002
1977,1,-0.009000000000000001
1977,2,-0.067
1977,3,-0.099
1977,4,-0.10400000000000001
1977,5,-0.09
1977,6,-0.083
1977,7,-0.076
1977,8,-0.054000000000000006
